Location,Latitude,Longitude
DJSCE,19.107462,72.8372
Cooper Hospital,19.10792804,72.83598402
Mithibai,19.10307465,72.83771576
Irla Petrol Pump,19.10788149,72.84012055
Merwan Cake shop,19.12006522,72.84522777
Juhu Circle,19.11619533,72.82986951
4 bunglow,19.12326516,72.82780587
Kokilaben Hospital,19.13135176,72.82506293
Lokhandwala Market,19.14593385,72.82294315
JW Marriott Juhu,19.10203287,72.8262984
Juhu Beach,19.09887576,72.82639184
Sea Princess Hotel,19.09412108,72.82816055
Novotel,19.10881234,72.82433454
Linking rd Bandra,19.0752477,72.83479165
Heera Panna,18.97744092,72.81132702
Nanavati Hospital,19.09505661,72.83943217
Milan Subway,19.09054933,72.84285288
Siddhivinayak,19.0169764,72.83039787
Haji Ali,18.97773589,72.81139448
Jaslok ,18.97176421,72.80984979
BKC Nara Thai,19.06115323,72.86275408
Bade Miya,18.93126352,72.83511312
Gateway of India,18.92216677,72.83468648
Saifi,18.95267159,72.81818561
International Airport,19.0903801,72.86287307
Tarapor Aquarium,18.95062081,72.81868164
Nair Hospital,18.97303043,72.8218343
Malabar Hills,18.95474869,72.80008521
Charni rd Station,18.95207771,72.81802332
Girgaon chowpaty,18.9538883,72.81455767
Wankhede Stadium,18.93827578,72.82574618
Trident,18.92772469,72.82119785
Churchgate Station,18.93387609,72.8276634
Pizza By the Bay,18.93341934,72.82398817
